symbol,kind,parent_class,header,signature,line,prod_usage_count,prod_reachable,churn_12m,workflows_direct,header_basename_collision,name_uniqueness,match_confidence
setMatrix,f,o2::detectors::MatrixCache,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/DetMatrixCache.h,"(const T & mat,int sensID)",54,1,true,0,0,false,unique,high
setMatrixL2G,f,o2::detectors::DetMatrixCacheIndirect,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/DetMatrixCache.h,"(const Mat3D & matrix,int sensID)",160,0,true,0,0,false,unique,high
setMatrixT2G,f,o2::detectors::DetMatrixCacheIndirect,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/DetMatrixCache.h,"(const Mat3D & matrix,int sensID)",159,0,true,0,0,false,unique,high
setMatrixT2GRot,f,o2::detectors::DetMatrixCacheIndirect,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/DetMatrixCache.h,"(const Rot2D & matrix,int sensID)",161,0,true,0,0,false,unique,high
setMatrixT2L,f,o2::detectors::DetMatrixCacheIndirect,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/DetMatrixCache.h,"(const Mat3D & matrix,int sensID)",158,0,true,0,0,false,unique,high
setMax,p,o2::math_utils::detail::Bracket,/Users/miranov25/alicesw/O2/Common/MathUtils/include/MathUtils/detail/Bracket.h,(T v),56,0,true,0,0,false,unique,high
setMaxFilesInQueue,f,o2::utils::FileFetcher,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/FileFetcher.h,(size_t s),63,1,true,0,1,false,unique,high
setMaxLoops,f,o2::utils::FileFetcher,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/FileFetcher.h,(size_t v),64,1,true,0,1,false,unique,high
setMin,p,o2::math_utils::detail::Bracket,/Users/miranov25/alicesw/O2/Common/MathUtils/include/MathUtils/detail/Bracket.h,(T v),57,0,true,0,0,false,unique,high
setNData,f,o2::ctf::Block,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/EncodedBlocks.h,(int _ndata),191,0,true,0,0,false,unique,high
setNDict,f,o2::ctf::Block,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/EncodedBlocks.h,(int _ndict),185,0,true,0,0,false,unique,high
setNLiterals,f,o2::ctf::Block,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/EncodedBlocks.h,(int _nliterals),197,0,true,0,0,false,unique,high
setOutputDir,f,o2::conf::ConfigurableParam,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ConfigurableParam.h,(const std::string & d),181,0,true,0,0,false,unique,high
setOwnList,p,o2::utils::IRFrameSelector,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/IRFrameSelector.h,"(const std::vector<o2::dataformats::IRFrame> & lst,bool toBeSorted)",49,1,true,0,1,false,unique,high
setParameter,f,o2::utils::fitResult,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/BoostHistogramUtils.h,(T parameter),203,2,true,0,0,false,unique,high
setProvenance,f,o2::conf::ConfigurableParam,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ConfigurableParam.h,"(std::string const & mainkey,std::string const & subkey,EParamProvenance p)",225,0,true,0,0,false,unique,high
setRegisterMode,f,o2::conf::ConfigurableParam,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ConfigurableParam.h,(bool b),307,8,true,0,0,false,unique,high
setRun5,f,o2::conf::SimConfig,/Users/miranov25/alicesw/O2/Common/SimConfig/include/SimConfig/SimConfig.h,(bool value=true),177,3,true,0,3,false,unique,high
setSelectedIRFrames,f,o2::utils::IRFrameSelector,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/IRFrameSelector.h,"(const SPAN & sp,size_t bwd=0,size_t fwd=0,long shift=0,bool removeOverlaps=true)",32,3,true,0,1,false,unique,high
